Team,#,Pos.,FIFA Popular Name,,Birth Date,Shirt Name,Club,Height,Weight,Age
Germany,7,MF,DRAXLER Julian,,9/20/1993,DRAXLER,Paris Saint-Germain FC (FRA),185,74,25
Germany,19,MF,RUDY Sebastian,,2/28/1990,RUDY,FC Bayern München (GER),179,74,29
Germany,3,DF,HECTOR Jonas,,5/27/1990,HECTOR,1. FC Köln (GER),185,75,28
Germany,9,FW,WERNER Timo,,3/6/1996,WERNER,RB Leipzig (GER),181,75,23
Germany,13,MF,MUELLER Thomas,,9/13/1989,MÜLLER,FC Bayern München (GER),186,75,29
Germany,2,DF,PLATTENHARDT Marvin,,1/26/1992,PLATTENHARDT,Hertha BSC (GER),181,76,27
Germany,14,MF,GORETZKA Leon,,2/6/1995,GORETZKA,FC Schalke 04 (GER),189,76,24
Germany,8,MF,KROOS Toni,,1/4/1990,KROOS,Real Madrid CF (ESP),182,78,29
Germany,21,MF,GUENDOGAN Ilkay,,10/24/1990,GÜNDOGAN,Manchester City FC (ENG),180,79,28
Germany,6,DF,KHEDIRA Sami,,4/4/1987,KHEDIRA,Juventus FC (ITA),189,81,32
Germany,20,MF,BRANDT Julian,,5/2/1996,BRANDT,Bayer 04 Leverkusen (GER),183,82,22
Germany,23,FW,GOMEZ Mario,,7/10/1985,GOMEZ,VfB Stuttgart (GER),189,82,33
Germany,4,DF,GINTER Matthias,,1/19/1994,GINTER,VfL Borussia Mönchengladbach (GER),189,85,25
Germany,16,DF,RUEDIGER Antonio,,3/3/1993,RÜDIGER,Chelsea FC (ENG),191,85,26
Germany,22,GK,TER STEGEN Marc-Andre,,4/30/1992,TER STEGEN,FC Barcelona (ESP),187,85,26
Germany,12,GK,TRAPP Kevin,,7/8/1990,TRAPP,Paris Saint-Germain FC (FRA),189,88,28
Germany,15,DF,SUELE Niklas,,9/3/1995,SÜLE,FC Bayern München (GER),195,89,23
Germany,5,DF,HUMMELS Mats,,12/16/1988,HUMMELS,FC Bayern München (GER),192,90,30
Germany,17,DF,BOATENG Jerome,,9/3/1988,BOATENG,FC Bayern München (GER),192,90,30
Germany,1,GK,NEUER Manuel,,3/27/1986,NEUER,FC Bayern München (GER),193,93,33
Iceland,23,DF,SKULASON Ari,,5/14/1987,A. SKÚLASON,KSC Lokeren (BEL),170,63,31
Iceland,21,MF,TRAUSTASON Arnor,,4/30/1993,TRAUSTASON,Malmö FF (SWE),183,73,25
Iceland,2,DF,SAEVARSSON Birkir,,11/11/1984,SÆVARSSON,Valur Reykjavik (ISL),186,75,34
Iceland,13,GK,RUNARSSON Runar,,2/18/1995,RÚNARSSON,FC Nordsjaelland (DEN),186,76,24
Iceland,7,MF,GUDMUNDSSON Johann,,10/27/1990,J. GUDMUNDSSON,Burnley FC (ENG),179,77,28
Iceland,8,MF,BJARNASON Birkir,,5/27/1988,B. BJARNASON,Aston Villa FC (ENG),183,77,30
Iceland,3,MF,FRIDJONSSON Samuel,,2/22/1996,FRIDJÓNSSON,Valerenga IF (NOR),185,78,23
Iceland,19,MF,GISLASON Rurik,,2/25/1988,GISLASON,SV Sandhausen (GER),184,78,31
Iceland,11,FW,FINNBOGASON Alfred,,2/1/1989,FINNBOGASON,FC Augsburg (GER),185,79,30
Iceland,16,MF,SKULASON Olafur,,4/1/1983,Ó. SKÚLASON,Karabukspor (TUR),184,79,36
Iceland,4,MF,GUDMUNDSSON Albert,,6/15/1997,A. GUDMUNDSSON,PSV Eindhoven (NED),177,80,21
Iceland,5,DF,INGASON Sverrir,,8/5/1993,INGASON,FC Rostov (RUS),188,80,25
Iceland,15,DF,EYJOLFSSON Holmar,,8/6/1990,EYJÓLFSSON,Levski Sofia (BUL),188,81,28
Iceland,10,MF,SIGURDSSON Gylfi,,9/8/1989,G. SIGURDSSON,Everton FC (ENG),186,82,29
Iceland,14,DF,ARNASON Kari,,10/13/1982,ARNASON,Aberdeen FC (SCO),191,82,36
Iceland,9,FW,SIGURDARSON Bjorn,,2/26/1991,SIGURDARSON,FC Rostov (RUS),187,85,28
Iceland,18,DF,MAGNUSSON Hordur,,2/11/1993,MAGNÚSSON,Bristol City FC (ENG),191,85,26
Iceland,6,DF,SIGURDSSON Ragnar,,6/19/1986,R. SIGURDSSON,FC Rostov (RUS),187,86,32
Iceland,17,MF,GUNNARSSON Aron,,4/22/1989,GUNNARSSON,Cardiff City FC (WAL),181,86,29
Iceland,20,MF,HALLFREDSSON Emil,,6/29/1984,HALLFREDSSON,Udinese Calcio (ITA),186,86,34
Iceland,1,GK,HALLDORSSON Hannes,,4/27/1984,HALLDORSSON,Randers FC (DEN),193,88,34
Iceland,22,FW,BODVARSSON Jon,,5/25/1992,BÖDVARSSON,Reading FC (ENG),189,89,26
Iceland,12,GK,SCHRAM Frederik,,1/19/1995,SCHRAM,Roskilde BK (DEN),198,92,24
IR Iran,5,DF,MOHAMMADI Milad,,9/29/1993,M. MOHAMMADI,FC Akhmat Grozny (RUS),178,69,25
IR Iran,2,MF,TORABI Mehdi,,9/10/1994,M. TORABI,Saipa Alborz FC (IRN),185,71,24
IR Iran,11,MF,AMIRI Vahid,,4/2/1988,V. AMIRI,Persepolis FC (IRN),179,71,31
IR Iran,3,DF,HAJI SAFI Ehsan,,2/25/1990,HAJI SAFI,Olympiacos Piraeus FC (GRE),178,75,29
IR Iran,9,MF,EBRAHIMI Omid,,9/16/1987,OMID,Esteghlal Tehran FC (IRN),178,75,31
IR Iran,23,DF,REZAEIAN Ramin,,3/21/1990,RAMIN,KV Oostende (BEL),185,75,29
IR Iran,15,DF,MONTAZERI Pejman,,9/6/1983,P. MONTAZERI,Esteghlal Tehran FC (IRN),185,77,35
IR Iran,18,FW,JAHANBAKHSH Alireza,,8/11/1993,A. JAHANBAKHSH,AZ Alkmaar (NED),180,77,25
IR Iran,19,DF,HOSSEINI Majid,,6/20/1996,M. HOSSEINI,Esteghlal Tehran FC (IRN),183,78,22
IR Iran,21,FW,DEJAGAH Ashkan,,7/5/1986,DEJAGAH,Nottingham Forest FC (ENG),181,78,32
IR Iran,7,MF,SHOJAEI Masoud,,6/9/1984,SHOJAEI M.,AEK Athens (GRE),187,79,34
IR Iran,14,FW,GHODDOS  Saman,,9/6/1993,GHODDOS,IFK Östersund FK (SWE),177,79,25
IR Iran,16,FW,GHOOCHANNEJHAD Reza,,9/20/1987,REZA,SC Heerenveen (NED),180,79,31
IR Iran,4,DF,CHESHMI Roozbeh,,7/24/1993,R. CHESHMI,Esteghlal Tehran FC (IRN),192,80,25
IR Iran,10,FW,ANSARIFARD Karim,,4/3/1990,KARIM,Olympiacos Piraeus FC (GRE),187,80,29
IR Iran,13,DF,KHANZADEH Mohammad Reza,,5/11/1991,M.R. KHANZADEH,Padideh FC (IRN),186,80,27
IR Iran,17,FW,TAREMI Mehdi,,7/18/1992,MEHDI,Al Gharafa SC (QAT),187,80,26
IR Iran,20,FW,AZMOUN Sardar,,1/1/1995,SARDAR,FC Rubin Kazan (RUS),186,80,24
IR Iran,22,GK,ABEDZADEH Amir,,4/26/1993,ABEDZADEH,CS Maritimo (POR),186,80,25
IR Iran,6,MF,EZATOLAHI Saeid,,10/1/1996,S. EZATOLAHI,FK Amkar Perm (RUS),190,82,22
IR Iran,8,DF,POURALIGANJI Morteza,,4/19/1992,M. POURALIGANJI,Al Sadd SC (QAT),187,83,26
IR Iran,12,GK,MAZAHERI Rashid,,5/18/1989,RASHID,Zob Ahan Isfahan FC (IRN),192,84,29
IR Iran,1,GK,BEIRANVAND Ali,,9/21/1992,A. BEIRANVAND,Persepolis FC (IRN),194,85,26
Japan,14,MF,INUI Takashi,,6/2/1988,INUI,SD Eibar (ESP),169,59,30
Japan,7,MF,SHIBASAKI Gaku,,5/28/1992,SHIBASAKI,Getafe CF (ESP),175,64,26
Japan,18,MF,OSHIMA Ryota,,1/23/1993,OHSHIMA,Kawasaki Frontale (JPN),168,64,26
Japan,5,DF,NAGATOMO Yuto,,9/12/1986,NAGATOMO,Galatasaray SK (TUR),170,68,32
Japan,8,MF,HARAGUCHI Genki,,5/9/1991,HARAGUCHI,Fortuna Düsseldorf (GER),178,68,27
Japan,10,MF,KAGAWA Shinji,,3/17/1989,KAGAWA,Borussia Dortmund (GER),175,68,30
Japan,9,FW,OKAZAKI Shinji,,4/16/1986,OKAZAKI,Leicester City FC (ENG),174,70,32
Japan,19,DF,SAKAI Hiroki,,4/12/1990,H. SAKAI,Olympique Marseille (FRA),183,70,28
Japan,15,FW,OSAKO Yuya,,5/18/1990,OSAKO,1. FC Köln (GER),182,71,28
Japan,11,MF,USAMI Takashi,,5/6/1992,USAMI,Fortuna Düsseldorf (GER),178,72,26
Japan,13,FW,MUTO Yoshinori,,7/15/1992,MUTO,FSV Mainz 05 (GER),179,72,26
Japan,16,MF,YAMAGUCHI Hotaru,,10/6/1990,YAMAGUCHI,Cerezo Osaka (JPN),173,72,28
Japan,17,MF,HASEBE Makoto,,1/18/1984,HASEBE,Eintracht Frankfurt (GER),180,72,35
Japan,23,GK,NAKAMURA Kosuke,,2/27/1995,NAKAMURA,Kashiwa Reysol (JPN),184,72,24
Japan,1,GK,KAWASHIMA Eiji,,3/20/1983,KAWASHIMA,FC Metz (FRA),185,74,36
Japan,3,DF,SHOJI Gen,,12/11/1992,SHOJI,Kashima Antlers (JPN),182,74,26
Japan,4,MF,HONDA Keisuke,,6/13/1986,HONDA,CF Pachuca (MEX),182,74,32
Japan,21,DF,SAKAI Gotoku,,3/14/1991,G. SAKAI,Hamburger SV (GER),176,74,28
Japan,6,DF,ENDO Wataru,,2/9/1993,ENDO,Urawa Reds (JPN),178,75,26
Japan,20,DF,MAKINO Tomoaki,,5/11/1987,MAKINO,Urawa Reds (JPN),182,77,31
Japan,12,GK,HIGASHIGUCHI Masaaki,,5/12/1986,HIGASHIGUCHI,Gamba Osaka (JPN),184,78,32
Japan,22,DF,YOSHIDA Maya,,8/24/1988,YOSHIDA,Southampton FC (ENG),189,78,30
Japan,2,DF,UEDA Naomichi,,10/24/1994,UEDA,Kashima Antlers (JPN),186,79,24
Korea Republic,10,MF,LEE Seungwoo,,1/6/1998,S W LEE,Hellas Verona FC (ITA),170,63,21
Korea Republic,22,DF,GO Yohan,,3/10/1988,Y H GO,FC Seoul (KOR),170,65,31
Korea Republic,14,DF,HONG Chul,,9/17/1990,C HONG,Sangju Sangmu FC (KOR),176,67,28
Korea Republic,18,MF,MOON Seonmin,,6/9/1992,S M MOON,Incheon United FC (KOR),172,68,26
Korea Republic,12,DF,KIM Minwoo,,2/25/1990,M W KIM,Sangju Sangmu FC (KOR),172,69,29
Korea Republic,8,MF,JU Sejong,,10/30/1990,S J JU,Asan Mugunghwa FC (KOR),176,70,28
Korea Republic,17,MF,LEE Jaesung,,8/10/1992,J S LEE,Jeonbuk Hyundai (KOR),180,70,26
Korea Republic,6,DF,PARK Jooho,,1/16/1987,J H PARK,Ulsan Hyundai FC (KOR),174,71,32
Korea Republic,13,MF,KOO Jacheol,,2/27/1989,J C KOO,FC Augsburg (GER),182,73,30
Korea Republic,2,DF,LEE Yong,,12/24/1986,Y LEE,Jeonbuk Hyundai (KOR),180,74,32
Korea Republic,3,DF,JUNG Seunghyun,,4/3/1994,S H JUNG,Sagan Tosu FC (JPN),188,74,25
Korea Republic,19,DF,KIM Younggwon,,2/27/1990,Y G KIM,Guangzhou Evergrande FC (CHN),184,74,29
Korea Republic,16,MF,KI Sungyueng,,1/24/1989,S Y KI,Swansea City AFC (WAL),186,75,30
Korea Republic,23,GK,JO Hyeonwoo,,9/25/1991,H W JO,Daegu FC (KOR),189,75,27
Korea Republic,7,FW,SON Heungmin,,7/8/1992,H M SON,Tottenham Hotspur FC (ENG),183,76,26
Korea Republic,11,FW,HWANG Heechan,,1/26/1996,H C HWANG,FC Red Bull Salzburg (AUT),177,77,23
Korea Republic,20,DF,JANG Hyunsoo,,9/28/1991,H S JANG,FC Tokyo (JPN),187,77,27
Korea Republic,5,DF,YUN Youngsun,,10/4/1988,Y S YUN,Seongnam FC (KOR),185,78,30
Korea Republic,15,MF,JUNG Wooyoung,,12/14/1989,W Y JUNG,Vissel Kobe (JPN),186,78,29
Korea Republic,4,DF,OH Bansuk,,5/20/1988,B S OH,Jeju United (KOR),189,79,30
Korea Republic,1,GK,KIM Seunggyu,,9/30/1990,S G KIM,Vissel Kobe (JPN),187,80,28
Korea Republic,21,GK,KIM Jinhyeon,,7/6/1987,J H KIM,Cerezo Osaka (JPN),193,82,31
Korea Republic,9,FW,KIM Shinwook,,4/14/1988,S W KIM,Jeonbuk Hyundai (KOR),197,97,30
Mexico,20,MF,AQUINO Javier,,2/11/1990,J. AQUINO,Tigres UANL (MEX),166,59,29
Mexico,18,MF,GUARDADO Andres,,9/28/1986,A. GUARDADO,Real Betis (ESP),167,63,32
Mexico,22,FW,LOZANO Hirving,,7/30/1995,H. LOZANO,PSV Eindhoven (NED),176,66,23
Mexico,6,MF,DOS SANTOS Jonathan,,4/26/1990,J. DOS SANTOS,LA Galaxy (USA),173,69,28
Mexico,17,MF,CORONA Jesus,,1/6/1993,JESÚS C.,FC Porto (POR),174,69,26
Mexico,8,FW,FABIAN Marco,,7/21/1989,M. FABIÁN,Eintracht Frankfurt (GER),171,70,29
Mexico,10,MF,DOS SANTOS Giovani,,5/11/1989,G. DOS SANTOS,LA Galaxy (USA),178,70,29
Mexico,14,FW,HERNANDEZ Javier,,6/1/1988,J. HERNÁNDEZ,West Ham United FC (ENG),175,71,30
Mexico,7,MF,LAYUN Miguel,,6/25/1988,M. LAYÚN,Sevilla FC (ESP),180,72,30
Mexico,19,FW,PERALTA Oribe,,1/12/1984,O. PERALTA,Club América (MEX),178,72,35
Mexico,21,FW,ALVAREZ Edson,,10/24/1997,E. ÁLVAREZ,Club América (MEX),186,72,21
Mexico,23,MF,GALLARDO Jesus,,8/15/1994,J. GALLARDO,Pumas UNAM (MEX),177,74,24
Mexico,13,GK,OCHOA Guillermo,,7/13/1985,G. OCHOA,Standard Liège (BEL),185,76,33
Mexico,4,DF,MARQUEZ Rafael,,2/13/1979,R. MÁRQUEZ,CF Atlas (MEX),184,77,40
Mexico,5,DF,REYES Diego,,9/19/1992,D. REYES,FC Porto (POR),190,77,26
Mexico,11,FW,VELA Carlos,,3/1/1989,CARLOS V,Los Angeles FC (USA),178,78,30
Mexico,9,FW,JIMENEZ Raul,,5/5/1991,RAÚL,SL Benfica (POR),188,79,27
Mexico,16,DF,HERRERA Hector,,4/19/1990,H. HERRERA,FC Porto (POR),180,79,28
Mexico,1,GK,CORONA Jose,,1/26/1981,J. CORONA,Cruz Azul (MEX),182,80,38
Mexico,2,DF,AYALA Hugo,,3/31/1987,H. AYALA,Tigres UANL (MEX),188,82,32
Mexico,15,DF,MORENO Hector,,1/17/1988,H. MORENO,Real Sociedad (ESP),182,82,31
Mexico,3,DF,SALCEDO Carlos,,9/29/1993,C. SALCEDO,Eintracht Frankfurt (GER),189,83,25
Mexico,12,GK,TALAVERA Alfredo,,9/18/1982,A. TALAVERA,Deportivo Toluca FC (MEX),188,84,36
Morocco,14,MF,BOUSSOUFA Mbark,,8/15/1984,BOUSSOUFA,Al Jazira (UAE),167,59,34
Morocco,2,DF,HAKIMI Achraf,,11/4/1998,HAKIMI,Real Madrid CF (ESP),179,65,20
Morocco,18,MF,HARIT Amine,,6/18/1997,HARIT,FC Schalke 04 (GER),179,66,21
Morocco,23,MF,CARCELA Mehdi,,7/1/1989,CARCELA,Standard Liège (BEL),176,67,29
Morocco,3,DF,MENDYL Hamza,,10/21/1997,MENDYL,Lille OSC (FRA),179,70,21
Morocco,7,MF,ZIYACH Hakim,,3/19/1993,ZIYACH,AFC Ajax (NED),180,70,26
Morocco,22,GK,TAGNAOUTI Ahmed,,4/5/1996,TAGNAOUTI,IRT Tanger (MAR),186,70,23
Morocco,9,FW,EL KAABI Ayoub,,6/25/1993,EL KAABI,RS Berkane (MAR),182,72,25
Morocco,11,MF,FAJR Faycal,,8/1/1988,FAJR,Getafe CF (ESP),178,72,30
Morocco,10,MF,BELHANDA Younes,,2/25/1990,BELHANDA,Galatasaray SK (TUR),174,75,29
Morocco,15,MF,AIT BENNASSER Youssef,,7/7/1996,AIT BENNASSER,SM Caen (FRA),184,75,22
Morocco,19,FW,EN NESYRI Youssef,,6/1/1997,EN-NESYRI,Malaga CF (ESP),188,75,21
Morocco,6,DF,SAISS Romain,,3/26/1990,SAISS,Wolverhampton Wanderers FC (ENG),190,76,29
Morocco,1,GK,BOUNOU Yassine,,4/5/1991,BOUNOU,Girona FC (ESP),190,77,28
Morocco,16,MF,AMRABAT Noureddine,,3/31/1987,N. AMRABAT,CD Leganés (ESP),178,77,32
Morocco,21,MF,AMRABAT Sofyan,,8/21/1996,S. AMRABAT,Feyenoord Rotterdam (NED),183,77,22
Morocco,4,DF,DA COSTA Manuel,,5/6/1986,DA COSTA,Istanbul Başakşehir FK (TUR),187,78,32
Morocco,8,MF,EL AHMADI Karim,,1/27/1985,EL AHMADI,Feyenoord Rotterdam (NED),179,78,34
Morocco,13,FW,BOUTAIB Khalid,,4/24/1987,BOUTAIB,Yeni Malatyaspor (TUR),190,80,31
Morocco,20,FW,BOUHADDOUZ Aziz,,3/30/1987,BOUHADDOUZ,FC St. Pauli (GER),188,80,32
Morocco,17,DF,DIRAR Nabil,,2/25/1986,DIRAR,Fenerbahce SK (TUR),187,82,33
Morocco,5,DF,BENATIA Mehdi,,4/17/1987,BENATIA,Juventus FC (ITA),188,88,31
Morocco,12,GK,EL KAJOUI Monir,,5/10/1989,EL KAJOUI,CD Numancia (ESP),190,88,29
Nigeria,7,FW,MUSA Ahmed,,10/14/1992,MUSA,CSKA Moscow (RUS),173,65,26
Nigeria,4,MF,NDIDI Onyinye,,12/16/1996,NDIDI,Leicester City FC (ENG),184,73,22
Nigeria,8,MF,ETEBO Oghenekaro,,11/9/1995,ETEBO,UD Las Palmas (ESP),174,74,23
Nigeria,17,MF,ONAZI Ogenyi,,12/25/1992,ONAZI,Trabzonspor (TUR),172,74,26
Nigeria,21,DF,EBUEHI Tyronne,,12/16/1995,EBUEHI,ADO Den Haag (NED),187,74,23
Nigeria,2,DF,IDOWU Bryan,,5/18/1992,IDOWU,FK Amkar Perm (RUS),179,75,26
Nigeria,11,FW,MOSES Victor,,12/12/1990,MOSES,Chelsea FC (ENG),177,75,28
Nigeria,12,DF,SHEHU Abdullahi,,3/12/1993,SHEHU,Bursaspor (TUR),182,75,26
Nigeria,20,DF,AWAZIEM Chidozie,,1/1/1997,AWAZIEM,FC Nantes (FRA),192,76,22
Nigeria,15,MF,OBI Joel,,5/22/1991,OBI,Torino FC (ITA),177,77,27
Nigeria,1,GK,EZENWA Ikechukwu,,10/16/1988,EZENWA,Enyimba FC (NGA),181,80,30
Nigeria,14,FW,IHEANACHO Kelechi,,3/10/1996,IHEANACHO,Leicester City FC (ENG),183,80,23
Nigeria,3,DF,ECHIEJILE Elderson,,1/20/1988,ECHIEJILE,Cercle Brugge (BEL),185,82,31
Nigeria,10,MF,MIKEL John Obi,,4/22/1987,MIKEL,Tianjin Teda (CHN),188,82,31
Nigeria,22,DF,OMERUO Kenneth,,10/17/1993,OMERUO,Kasimpasa SK (TUR),185,82,25
Nigeria,9,FW,IGHALO Odion,,6/16/1989,IGHALO,Changchun Yatai (CHN),188,83,29
Nigeria,5,DF,EKONG William,,9/1/1993,EKONG,Bursaspor (TUR),191,85,25
Nigeria,18,FW,IWOBI Alex,,5/3/1996,IWOBI,Arsenal FC (ENG),185,86,22
Nigeria,6,DF,BALOGUN Leon,,6/28/1988,BALOGUN,FSV Mainz 05 (GER),190,89,30
Nigeria,13,FW,NWANKWO Simeon,,5/7/1992,NWANKWO,FC Crotone (ITA),197,89,26
Nigeria,19,MF,OGU John,,4/20/1988,OGU,Hapoel Be'er Sheva FC (ISR),191,90,30
Nigeria,23,GK,UZOHO Francis,,10/28/1998,UZOHO,Deportivo La Coruña (ESP),196,91,20
Nigeria,16,GK,AKPEYI Daniel,,3/8/1986,AKPEYI,Chippa United FC (RSA),187,94,33
Panama,19,MF,QUINTERO Alberto,,12/18/1987,QUINTERO,Universitario Lima (PER),165,62,31
Panama,1,GK,PENEDO Jaime,,9/26/1981,PENEDO,Dinamo Bucharest (ROU),183,70,37
Panama,8,MF,BARCENAS Edgar,,10/23/1993,BARCENAS,Cafetaleros de Tapachula (MEX),175,72,25
Panama,10,FW,DIAZ Ismael,,5/12/1997,DIAZ,Deportivo La Coruña (ESP),181,72,21
Panama,11,MF,COOPER Armando,,11/26/1987,COOPER,Club Universidad de Chile (CHI),173,72,31
Panama,17,DF,OVALLE Luis,,9/7/1988,OVALLE,CD Olimpia (HON),178,75,30
Panama,9,FW,TORRES Gabriel,,10/31/1988,G. TORRES,CD Huachipato (CHI),180,77,30
Panama,21,MF,RODRIGUEZ Jose Luis,,6/19/1998,J. RODRIGUEZ,KAA Gent (BEL),180,77,20
Panama,2,DF,MURILLO Michael,,2/11/1996,MURILLO,New York Red Bulls (USA),183,78,23
Panama,13,DF,MACHADO Adolfo,,2/14/1985,MACHADO,Houston Dynamo (USA),182,78,34
Panama,14,MF,PIMENTEL Valentin,,5/30/1991,PIMENTEL,Plaza Amador (PAN),189,80,27
Panama,15,DF,DAVIS Eric,,3/31/1991,DAVIS,DAC Dunajska Streda (SVK),180,81,28
Panama,4,DF,ESCOBAR Fidel,,1/9/1995,ESCOBAR,New York Red Bulls (USA),182,82,24
Panama,6,MF,GOMEZ Gabriel,,5/29/1984,GOMEZ,Atlético Bucaramanga (COL),183,82,34
Panama,16,FW,ARROYO Abdiel,,12/13/1993,ARROYO,LD Alajuelense (CRC),183,82,25
Panama,20,MF,GODOY Anibal,,2/10/1990,GODOY,San Jose Earthquakes (USA),183,82,29
Panama,7,FW,PEREZ Blas,,3/13/1981,PEREZ,CSD Municipal (GUA),187,83,38
Panama,22,GK,RODRIGUEZ Alex,,8/5/1990,RODRIGUEZ,San Francisco FC (PAN),197,83,28
Panama,12,GK,CALDERON Jose,,8/14/1985,CALDERON,Chorrillo FC (PAN),187,87,33
Panama,18,FW,TEJADA Luis,,3/28/1982,TEJADA,Sport Boys (PER),183,87,37
Panama,23,DF,BALOY Felipe,,2/24/1981,BALOY,CSD Municipal (GUA),185,87,38
Panama,3,DF,CUMMINGS Harold,,3/1/1992,CUMMINGS,San Jose Earthquakes (USA),183,92,27
Panama,5,DF,TORRES Roman,,3/20/1986,R. TORRES,Seattle Sounders FC (USA),188,99,33
Peru,7,MF,HURTADO Paolo,,7/27/1990,HURTADO,Vitoria Guimaraes (POR),174,66,28
Peru,11,FW,RUIDIAZ Raul,,7/25/1990,RUIDIAZ,CA Monarcas Morelia (MEX),169,67,28
Peru,22,DF,LOYOLA Nilson,,10/26/1994,LOYOLA,FBC Melgar (PER),179,68,24
Peru,8,MF,CUEVA Christian,,11/23/1991,CUEVA,Sao Paulo FC (BRA),169,69,27
Peru,19,MF,YOTUN Yoshimar,,4/7/1990,YOTUN,Orlando City SC (USA),172,69,29
Peru,14,MF,POLO Andy,,9/29/1994,POLO,Portland Timbers (USA),174,71,24
Peru,23,MF,AQUINO Pedro,,4/13/1995,AQUINO,Lobos BUAP (MEX),174,71,23
Peru,15,DF,RAMOS Christian,,11/4/1988,RAMOS,CD Tiburones Rojos de Veracruz (MEX),182,72,30
Peru,20,FW,FLORES Edison,,5/14/1994,FLORES,Aalborg BK (DEN),170,72,24
Peru,6,DF,TRAUCO Miguel,,8/25/1992,TRAUCO,CR Flamengo (BRA),169,74,26
Peru,3,DF,CORZO Aldo,,5/20/1989,CORZO,Universitario Lima (PER),172,75,29
Peru,16,MF,CARTAGENA Wilder,,9/23/1994,CARTAGENA,CD Tiburones Rojos de Veracruz (MEX),179,76,24
Peru,5,DF,ARAUJO Miguel,,10/24/1994,ARAUJO,Alianza Lima (PER),178,77,24
Peru,18,FW,CARRILLO Andre,,6/14/1991,CARRILLO,Watford FC (ENG),182,77,27
Peru,2,DF,RODRIGUEZ Alberto,,3/31/1984,RODRIGUEZ,Atletico Junior (COL),179,78,35
Peru,12,GK,CACEDA Carlos,,9/27/1991,CACEDA,Deportivo Municipal (PER),184,78,27
Peru,1,GK,GALLESE Pedro,,2/23/1990,GALLESE,CD Tiburones Rojos de Veracruz (MEX),189,79,29
Peru,17,DF,ADVINCULA Luis,,3/2/1990,ADVINCULA,Lobos BUAP (MEX),178,80,29
Peru,4,DF,SANTAMARIA Anderson,,1/10/1992,SANTAMARIA,Puebla FC (MEX),183,84,27
Peru,21,GK,CARVALLO Jose,,3/1/1986,CARVALLO,Universidad Técnica de Cajamarca (PER),182,84,33
Peru,10,FW,FARFAN Jefferson,,10/26/1984,FARFAN,FC Lokomotiv Moscow (RUS),177,85,34
Peru,13,MF,TAPIA Renato,,7/28/1995,TAPIA,Feyenoord Rotterdam (NED),185,85,23
Peru,9,FW,GUERRERO Paolo,,1/1/1984,GUERRERO,CR Flamengo (BRA),185,88,35
Poland,19,MF,ZIELINSKI Piotr,,5/20/1994,ZIELINSKI,SSC Napoli (ITA),177,64,24
Poland,6,MF,GORALSKI Jacek,,9/21/1992,GORALSKI,PFC Ludogorets Razgrad (BUL),172,66,26
Poland,17,MF,PESZKO Slawomir,,2/19/1985,PESZKO,Lechia Gdansk (POL),173,68,34
Poland,16,MF,BLASZCZYKOWSKI Jakub,,12/14/1985,BLASZCZYKOWSKI,VfL Wolfsburg (GER),175,71,33
Poland,18,DF,BERESZYNSKI Bartosz,,7/12/1992,BERESZYNSKI,UC Sampdoria (ITA),182,72,26
Poland,8,MF,LINETTY Karol,,2/2/1995,LINETTY,UC Sampdoria (ITA),176,73,24
Poland,21,MF,KURZAWA Rafal,,1/29/1993,KURZAWA,Gornik Zabrze (POL),182,73,26
Poland,13,MF,RYBUS Maciej,,8/19/1989,RYBUS,FC Lokomotiv Moscow (RUS),173,75,29
Poland,23,FW,KOWNACKI Dawid,,3/14/1997,KOWNACKI,UC Sampdoria (ITA),185,75,22
Poland,5,DF,BEDNAREK Jan,,4/12/1996,BEDNAREK,Southampton FC (ENG),189,77,22
Poland,2,DF,PAZDAN Michal,,9/21/1987,PAZDAN,Legia Warsaw (POL),181,78,31
Poland,3,DF,JEDRZEJCZYK Artur,,11/4/1987,JEDRZEJCZYK,Legia Warsaw (POL),189,78,31
Poland,11,MF,GROSICKI Kamil,,6/8/1988,GROSICKI,Hull City FC (ENG),180,78,30
Poland,14,FW,TEODORCZYK Lukasz,,6/3/1991,TEODORCZYK,RSC Anderlecht (BEL),185,78,27
Poland,9,FW,LEWANDOWSKI Robert,,8/21/1988,LEWANDOWSKI,FC Bayern München (GER),185,79,30
Poland,20,DF,PISZCZEK Lukasz,,6/3/1985,PISZCZEK,Borussia Dortmund (GER),184,79,33
Poland,15,DF,GLIK Kamil,,2/3/1988,GLIK,AS Monaco (FRA),190,80,31
Poland,4,DF,CIONEK Thiago,,4/21/1986,CIONEK,SPAL Ferrara (ITA),184,81,32
Poland,7,FW,MILIK Arkadiusz,,2/28/1994,MILIK,SSC Napoli (ITA),186,81,25
Poland,10,MF,KRYCHOWIAK Grzegorz,,1/29/1990,KRYCHOWIAK,West Bromwich Albion FC (ENG),186,83,29
Poland,12,GK,BIALKOWSKI Bartosz,,7/6/1987,BIALKOWSKI,Ipswich Town FC (ENG),194,83,31
Poland,22,GK,FABIANSKI Lukasz,,4/18/1985,FABIANSKI,Swansea City AFC (WAL),190,83,33
Poland,1,GK,SZCZESNY Wojciech,,4/18/1990,SZCZESNY,Juventus FC (ITA),195,84,28
Portugal,8,MF,JOAO MOUTINHO,,9/8/1986,J. MOUTINHO,AS Monaco (FRA),170,61,32
